code,name,lat,lon,remote,direct_airport,direct_service_hub
ABQ,Albuquerque,35.0494,-106.6172,False,True,False
ABV,Abuja,9.0068,7.2632,False,True,False
ACC,Accra,5.6052,-0.1668,False,True,False
ADD,Addis Ababa,8.9779,38.7993,False,True,True
ADL,Adelaide,-34.945,138.5306,False,True,False
AEP,Buenos Aires Aeroparque,-34.5592,-58.4156,False,True,False
AGU,Aguascalientes,21.7056,-102.3179,False,True,False
AKL,Auckland,-37.0082,174.785,False,True,True
ALB,Albany,42.7483,-73.8017,False,True,False
AMM,Amman,31.7226,35.9932,False,True,False
AMS,Amsterdam Schiphol,52.3105,4.7683,False,True,True
ANC,Anchorage,61.1744,-149.9964,True,True,True
ARN,Stockholm Arlanda,59.6519,17.9186,False,True,False
ATH,Athens,37.9364,23.9475,False,True,False
ATL,Atlanta Hartsfield-Jackson,33.6407,-84.4277,False,True,True
AUH,Abu Dhabi,24.433,54.6511,False,True,False
AUS,Austin-Bergstrom,30.1975,-97.6664,False,True,False
BCN,Barcelona,41.2974,2.0833,False,True,False
BDL,Hartford Bradley,41.9389,-72.6832,False,True,False
BER,Berlin Brandenburg,52.3667,13.5033,False,True,False
BHM,Birmingham,33.5629,-86.7535,False,True,False
BIS,Bismarck,46.7727,-100.746,False,True,False
BJX,Bajio,20.9935,-101.4808,False,True,False
BKK,Bangkok Suvarnabhumi,13.69,100.7501,False,True,True
BLR,Bengaluru,13.1986,77.7066,False,True,False
BNA,Nashville,36.1263,-86.6774,False,True,False
BNE,Brisbane,-27.3842,153.1175,False,True,False
BOG,Bogota,4.7016,-74.1469,False,True,True
BOI,Boise,43.5644,-116.2228,False,True,False
BOM,Mumbai,19.0896,72.8656,False,True,True
BOS,Boston Logan,42.3656,-71.0096,False,True,True
BRU,Brussels,50.9014,4.4844,False,True,False
BUD,Budapest,47.4394,19.2611,False,True,False
BUF,Buffalo Niagara,42.9405,-78.7322,False,True,False
BUR,Burbank,34.2007,-118.3587,False,True,False
BWI,Baltimore-Washington,39.1774,-76.6684,False,True,False
CAI,Cairo,30.1219,31.4056,False,True,True
CAN,Guangzhou,23.3924,113.2988,False,True,True
CCU,Kolkata,22.6547,88.4467,False,True,False
CDG,Paris Charles de Gaulle,49.0097,2.5479,False,True,True
CEN,Ciudad Obregon,27.3926,-109.8331,False,True,False
CGH,Sao Paulo Congonhas,-23.6261,-46.6564,False,True,False
CGK,Jakarta,-6.1256,106.6559,False,True,False
CHC,Christchurch,-43.4894,172.5322,False,True,False
CHS,Charleston,32.8986,-80.0405,False,True,False
CJS,Ciudad Juarez,31.6361,-106.4287,False,True,False
CLE,Cleveland Hopkins,41.4117,-81.8498,False,True,False
CLT,Charlotte Douglas,35.2144,-80.9473,False,True,True
CMB,Colombo,7.1808,79.8841,False,True,False
CMH,Columbus,39.9999,-82.8872,False,True,False
CMN,Casablanca,33.3675,-7.5899,False,True,True
COS,Colorado Springs,38.8058,-104.7008,False,True,False
CPH,Copenhagen,55.618,12.6508,False,True,False
CPT,Cape Town,-33.9694,18.5972,False,True,False
CTS,Sapporo New Chitose,42.7752,141.6923,False,True,False
CTU,Chengdu Shuangliu,30.5785,103.9471,False,True,False
CUL,Culiacan,24.7645,-107.4747,False,True,False
CUN,Cancun,21.0365,-86.8771,False,True,True
CUU,Chihuahua,28.7029,-105.9646,False,True,False
CVG,Cincinnati-Northern Kentucky,39.0488,-84.6678,False,True,False
DAC,Dhaka,23.8433,90.3978,False,True,False
DAL,Dallas Love Field,32.8471,-96.8518,False,True,False
DAR,Dar es Salaam,-6.8781,39.2026,False,True,False
DCA,Washington National,38.8512,-77.0402,False,True,False
DEL,Delhi,28.5562,77.1,False,True,True
DEN,Denver,39.8561,-104.6737,False,True,True
DFW,Dallas-Fort Worth,32.8998,-97.0403,False,True,True
DGO,Durango,24.1242,-104.528,False,True,False
DME,Moscow Domodedovo,55.4088,37.9063,False,True,False
DMK,Bangkok Don Mueang,13.9126,100.6067,False,True,False
DOH,Doha,25.2731,51.6081,False,True,True
DPS,Bali Denpasar,-8.7482,115.1672,False,True,False
DRW,Darwin,-12.4147,130.8777,False,True,False
DSM,Des Moines,41.534,-93.6631,False,True,False
DTW,Detroit Metro,42.2162,-83.3554,False,True,True
DUB,Dublin,53.4213,-6.2701,False,True,False
DUR,Durban,-29.6144,31.1197,False,True,False
DXB,Dubai,25.2532,55.3657,False,True,True
EDI,Edinburgh,55.95,-3.3725,False,True,False
ELP,El Paso,31.8072,-106.3776,False,True,False
EWR,Newark Liberty,40.6895,-74.1745,False,True,True
EZE,Buenos Aires Ezeiza,-34.8222,-58.5358,False,True,True
FAI,Fairbanks,64.8151,-147.8564,True,True,False
FAR,Fargo,46.9207,-96.8158,False,True,False
FAT,Fresno,36.7762,-119.7181,False,True,False
FCO,Rome Fiumicino,41.8003,12.2389,False,True,True
FLL,Fort Lauderdale,26.0742,-80.1506,False,True,False
